Creator,Simonette Hsu
Creation Date,2013-04-12-11:41:31
Modified By,Julia Yu
Last Modified Date,2013-11-22-13:41:01
Origional Applied Date,2012-10-08-10:23:26
,
Part Type,EE Component
Part Number,01.0XEON.20B
Revision,A
Sequence,2
Description,IC CPU XEON E5-2620 2.0GHZ 15M 95W C2 LG
Material Type,"ROH-Parts procured from Vendors, SW/Driver with disk"
Profit Center,PCY110-Infrastructure Service Business
General Description,IC CPU XEON E5-2620 2.0GHZ 15M 95W C2 LGA
Contract Information,FREQUENCY: 2.0GHZ
CMS3 Bonded Flag,Y: Bonded 
M/P Code,Purchase
Material Category,PC
Material Category First Digit Description,Processor
Material Category Second Digit Description,CPU
Model Name,
Project Code,
Material or Process Change?,NO
Green Factor,R2_SA;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,601(WIH MFG Plant); 136(WZS-2); 137(WZS EBG); 900(WYHQ);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Preliminary Vendor,INTEL
Preliminary Vendor Part Number,919196 SR0KW CM8062101048401
Component Version,
Component Top Marking,
MSDC Level,
Comments For Part,
FCC ID,
Mfg. ID,
Assession Number,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,Karl Rh Wang
Creation Date,2012-07-31-09:22:00
Modified By,Pauline Lin
Last Modified Date,2013-11-22-13:39:04
Origional Applied Date,2012-07-25-18:25:05
,
Part Type,Misc Component
Part Number,72.42GR7.B0N
Revision,A
Sequence,1
Description,DIMM 16G HMT42GR7AFR4A-PB DDR3L 1.35V
Material Type,"ROH-Parts procured from Vendors, SW/Driver with disk"
Profit Center,PCE000-EBG common pool
General Description,DDR3L 1600MHZ 16G R-DIMM W/4G CHIP A DIE(29NM) 1.35V
Contract Information,1.capacity: 16G 2.Function: Used in Computer/ Server
CMS3 Bonded Flag,Y: Bonded 
M/P Code,Purchase
Material Category,MS
Material Category First Digit Description,Memory
Material Category Second Digit Description,"SDIMM,RIMM,DIMM,SODIMM,Memory Continuity Module,VRAM,SRAM"
Model Name,16G
Project Code,
Material or Process Change?,NO
Green Factor,R2_SA;HF_SA;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,601(WIH MFG Plant); 136(WZS-2); 137(WZS EBG); 900(WYHQ);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Preliminary Vendor,SKHYNIX
Preliminary Vendor Part Number,HMT42GR7AFR4A-PB
MSDC Level,
Comments For Part,
FCC ID,
Mfg. ID,
Assession Number,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,Carrie Huang
Creation Date,2013-02-25-14:15:23
Modified By,Pauline Lin
Last Modified Date,2013-11-22-13:39:28
Origional Applied Date,2013-02-25-14:15:23
,
Part Type,Misc Component
Part Number,56.02P01.001
Revision,A
Sequence,3
Description,"HDD 3TB 3.5"" SGT ST33000650NS 9SM160 NL"
Material Type,"ROH-Parts procured from Vendors, SW/Driver with disk"
Profit Center,PCU000-Sever 2
General Description,"HDD 3TB 3.5"" SEAGATE ST33000650NS 9SM160 NL 7.2K"
Contract Information,
CMS3 Bonded Flag,Y: Bonded 
M/P Code,Purchase
Material Category,OH
Material Category First Digit Description,Optical/Storage
Material Category Second Digit Description,HDD
Model Name,3TB
Project Code,
Material or Process Change?,NO
Green Factor,R2_SA;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Obsoleted
Part Dispatched Destination,601(WIH MFG Plant); 136(WZS-2); 900(WYHQ); 133(WZS SBU Plant); 370(WMKS CSD Plant); 374(WMKS CSD NonValue Plant); 022(WPH CSD Plant); 024(WPH CSD NonValue Plant); 350(WSKS CSD Plant); 354(WSKS CSD NonValue Plant); 603(WIH CSD Plant); 604(WIH CSD NonValue Plant);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Preliminary Vendor,SEAGATE
Preliminary Vendor Part Number,ST33000650NS 9SM160
MSDC Level,
Comments For Part,"20131128/OBS reason:Successor : Seagate, ST3000NM0033"
FCC ID,
Mfg. ID,
Assession Number,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,Joyce Pj Wu
Creation Date,2012-11-12-14:05:23
Modified By,Ashely Chang
Last Modified Date,2013-11-28-18:08:13
Origional Applied Date,2011-07-19-14:45:06
,
Part Type,EE Component
Part Number,54.03361.M03
Revision,A
Sequence,5
Description,"LAN CARD 10GBE, X520-SR2 MM#900137 SPF+"
Material Type,"ROH-Parts procured from Vendors, SW/Driver with disk"
Profit Center,PCY000-Wiwynn Corporation
General Description,"LAN CARD 10GBE, X520-SR2 MM#900137 SPF+(WIWYNN)"
Contract Information,LAN Card
CMS3 Bonded Flag,Y: Bonded 
M/P Code,Purchase
Material Category,AL
Material Category First Digit Description,Add-on Card
Material Category Second Digit Description,"Modem/Lan, Ethernet & Network Card"
Model Name,
Project Code,
Material or Process Change?,NO
Green Factor,R2_SA;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,601(WIH MFG Plant); 136(WZS-2); 137(WZS EBG); 900(WYHQ);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Preliminary Vendor,INTEL
Preliminary Vendor Part Number,X520-SR2
Component Version,
Component Top Marking,
MSDC Level,
Comments For Part,"wrong contract information, apply new part number"
FCC ID,
Mfg. ID,
Assession Number,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,Katherine Wu
Creation Date,2013-03-28-17:33:36
Modified By,Mandy Yw Yu
Last Modified Date,2013-05-07-09:47:18
Origional Applied Date,2012-09-25-11:35:29
,
Part Type,Misc Component
Part Number,54.21027.011
Revision,A
Sequence,2
Description,RAID CARD LSI MEGARAID SAS 9260-4I
Material Type,"ROH-Parts procured from Vendors, SW/Driver with disk"
Profit Center,PCT000-Sever 1
General Description,RAID CARD LSI MEGARAID SAS 9260-4I
Contract Information,
CMS3 Bonded Flag,Y: Bonded 
M/P Code,Purchase
Material Category,AR
Material Category First Digit Description,Add-on Card
Material Category Second Digit Description,Raid Card
Model Name,
Project Code,91.61Y01.001
Material or Process Change?,NO
Green Factor,R2_SA;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,601(WIH MFG Plant); 136(WZS-2); 137(WZS EBG); 900(WYHQ); 133(WZS SBU Plant); 091(WSCZ SBG Value Plant); 094(WSCZ SBG NonValue Plant); 100(WJP CSD Plant); 104(WJP CSD NonValue Plant); 032(WTX CSD Plant); 370(WMKS CSD Plant); 374(WMKS CSD NonValue Plant); 022(WPH CSD Plant); 024(WPH CSD NonValue Plant); 350(WSKS CSD Plant); 354(WSKS CSD NonValue Plant); 603(WIH CSD Plant); 604(WIH CSD NonValue Plant);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Preliminary Vendor,LSI
Preliminary Vendor Part Number,SAS 9260-4i
MSDC Level,
Comments For Part,
FCC ID,
Mfg. ID,
Assession Number,
User/Vault/External System,<Corp_Vault>
Creator,Karl Rh Wang
Creation Date,2013-07-09-20:09:07
Modified By,SPLCSD
Last Modified Date,2013-07-09-20:09:10
Origional Applied Date,2011-03-17-17:25:10
,
Part Type,Misc Component
Part Number,54.21027.031
Revision,A
Sequence,2
Description,RAID CARD MEGA IBBU08 BATTERY BACKUPUNIT
Material Type,"ROH-Parts procured from Vendors, SW/Driver with disk"
Profit Center,PCL000-Notebook common pool
General Description,RAID CARD MEGA IBBU08 BATTERY BACKUP UNIT
Contract Information,
CMS3 Bonded Flag,Y: Bonded 
M/P Code,Purchase
Material Category,AR
Material Category First Digit Description,Add-on Card
Material Category Second Digit Description,Raid Card
Model Name,
Project Code,
Material or Process Change?,NO
Green Factor,R2_SA;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,601(WIH MFG Plant); 330(WKS-5(Annie)); 136(WZS-2); 137(WZS EBG); 900(WYHQ); 133(WZS SBU Plant); 091(WSCZ SBG Value Plant); 094(WSCZ SBG NonValue Plant); 100(WJP CSD Plant); 104(WJP CSD NonValue Plant); 032(WTX CSD Plant); 370(WMKS CSD Plant); 374(WMKS CSD NonValue Plant); 022(WPH CSD Plant); 024(WPH CSD NonValue Plant); 350(WSKS CSD Plant); 354(WSKS CSD NonValue Plant); 603(WIH CSD Plant); 604(WIH CSD NonValue Plant);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Preliminary Vendor,LSI
Preliminary Vendor Part Number,iBBU08
MSDC Level,
Comments For Part,
FCC ID,
Mfg. ID,
Assession Number,
User/Vault/External System,<Corp_Vault>
Creator,Karl Rh Wang
Creation Date,2013-04-17-17:20:21
Modified By,Mandy Yw Yu
Last Modified Date,2013-04-17-17:20:52
Origional Applied Date,2011-04-11-15:55:44

Part Type,FG Assembly
Part Number,81.02720.S17
Revision,A
Sequence,1
Description,IDCMT-2511B HSF 200W
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,ASSY HOUSING IDCMT-2511B
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Purchase
Material Category,ZZ
Material Category First Digit Description,Miscellaneous Parts
Material Category Second Digit Description,Tooling
Model Name,IDT
Project Code,
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,
Last Modified Date,2005-07-06-05:02:40
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.02720.S18
Revision,A
Sequence,1
Description,IDCMT-2711B HSF 250W
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,ASSY HOUSING IDCMT-2711B
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Purchase
Material Category,ZZ
Material Category First Digit Description,Miscellaneous Parts
Material Category Second Digit Description,Tooling
Model Name,IDT
Project Code,
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,
Last Modified Date,2005-07-06-05:02:40
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.04737.S01
Revision,A
Sequence,1
Description,CD-920E/IG20 UMC
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,CD-ROM DRIVER CD-920E/IG20 UMC
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Purchase
Material Category,Z-
Material Category First Digit Description,Miscellaneous Parts
Material Category Second Digit Description,Miscellaneoue Parts
Model Name,CD920E
Project Code,
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,
Last Modified Date,2005-07-06-05:02:41
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.14A02.S01
Revision,A
Sequence,1
Description,"D-12.1"" LCD MONITOR (CMOS)-C"
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,"D-12.1"" LCD MONITOR (CMOS)-C"
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Manufacture
Material Category,DB
Material Category First Digit Description,Peripheral
Model Name,
Project Code,91.14A02.001
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,Connie Hsiao
Last Modified Date,2005-07-06-05:03:52
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.14A10.S01
Revision,A
Sequence,1
Description,"D-12.1""LCD MONITOR CMOS I/F BD"
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,"D-12.1""LCD MONITOR CMOS I/F BD"
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Manufacture
Material Category,A-
Material Category First Digit Description,Add on card(with PCI or AGP golden fingers)
Material Category Second Digit Description,Add on card(with PCI or AGP golden fingers)
Model Name,HTCLCD
Project Code,91.14A02.001
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,
Last Modified Date,2005-07-06-05:03:52
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.15A02.S01
Revision,A
Sequence,1
Description,"D-14.1"" LCD MONITOR (LVDS)-C"
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,"D-14.1"" LCD MONITOR (LVDS)-C"
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Manufacture
Material Category,S-
Material Category First Digit Description,"System, F-"
Material Category Second Digit Description,"System, F-"
Model Name,HTCLCD
Project Code,91.15A02.001
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,Pauline Lin
Last Modified Date,2005-07-06-05:03:57
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.15A10.S01
Revision,A
Sequence,1
Description,"D-14.1""LCD MONITOR LVDS I/F BD"
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,"D-14.1""LCD MONITOR LVDS I/F BD"
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Purchase
Material Category,Z-
Material Category First Digit Description,Miscellaneous Parts
Material Category Second Digit Description,Miscellaneoue Parts
Model Name,HTCLCD
Project Code,
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,
Last Modified Date,2005-07-06-05:03:58
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.16A02.S01
Revision,A
Sequence,1
Description,"D-15"" LCD MONITOR (LVDS)"
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,"D-15"" LCD MONITOR (LVDS)"
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Manufacture
Material Category,S-
Material Category First Digit Description,"System, F-"
Material Category Second Digit Description,"System, F-"
Model Name,HTCLCD
Project Code,91.16A02.001
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,601(WIH MFG Plant); 603(WIH CSD Plant); 604(WIH CSD NonValue Plant);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,
Last Modified Date,2005-07-06-05:04:22
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.16A10.S01
Revision,A
Sequence,1
Description,"D-15"" LCD MONITOR LVDS I/F B.D"
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,"D-15"" LCD MONITOR LVDS I/F B.D"
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Purchase
Material Category,Z-
Material Category First Digit Description,Miscellaneous Parts
Material Category Second Digit Description,Miscellaneoue Parts
Model Name,HTCLCD
Project Code,
Material or Process Change?,NO
Green Factor,Regular;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,
Creation Date,1999-08-07-23:42:47
Modified By,
Last Modified Date,2005-07-06-05:04:25
Origional Applied Date,1999-08-07-23:42:47
,
Part Type,FG Assembly
Part Number,81.16848.S01
Revision,A
Sequence,1
Description,DVC-V2 FOR SENSOR SONY
Material Type,FERT-Finished Goods for shipment
Profit Center,PCP000-BU V - DA - OTHERS
General Description,DIGITAL PC VIDEO SENSOR DVC-V2 (SONY)
Contract Information,
CMS3 Bonded Flag,0: Unknown
M/P Code,Manufacture
Material Category,S-
Material Category First Digit Description,"System, F-"
Material Category Second Digit Description,"System, F-"
